timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1548171028996,13067,HTTP Request Pagina Piccola,200,OK,Thread Group 1-11,text,true,,29275,133,30,30,http://192.168.1.172/Instagramlogin.html,2849,0,1603
1548171026952,15625,HTTP Request Pagina MedioPiccola,200,OK,Thread Group 1-8,text,true,,114344,128,30,30,http://192.168.1.172/FrancoCFA.html,2948,0,1414
1548171012653,30841,HTTP Request Immagine,200,OK,Thread Group 1-13,bin,true,,5266772,138,30,30,http://192.168.1.172/Sample-jpg-image-5mb.jpg,4141,0,2625
1548171018096,26658,HTTP Request Immagine,200,OK,Thread Group 1-15,bin,true,,5266772,138,30,30,http://192.168.1.172/Sample-jpg-image-5mb.jpg,2328,0,1104
1548171032390,12836,HTTP Request Pagina MedioPiccola,200,OK,Thread Group 1-2,text,true,,114344,128,30,30,http://192.168.1.172/FrancoCFA.html,4173,0,1829
1548171019162,27014,HTTP Request Immagine,200,OK,Thread Group 1-4,bin,true,,5266772,138,30,30,http://192.168.1.172/Sample-jpg-image-5mb.jpg,2578,0,1156
1548171024892,21736,HTTP Request Pagina Media,200,OK,Thread Group 1-17,text,true,,470258,125,30,30,http://192.168.1.172/Amazon.html,3180,0,1806
1548171012652,34321,HTTP Request Immagine,200,OK,Thread Group 1-21,bin,true,,5266772,138,30,30,http://192.168.1.172/Sample-jpg-image-5mb.jpg,4142,0,2626
1548171026841,21051,HTTP Request Pagina Media,200,OK,Thread Group 1-14,text,true,,470258,125,30,30,http://192.168.1.172/Amazon.html,2861,0,1453
1548171031337,16671,HTTP Request Pagina Media,200,OK,Thread Group 1-26,text,true,,470258,125,30,30,http://192.168.1.172/Amazon.html,3206,0,1268
1548171031348,16709,HTTP Request Pagina Media,200,OK,Thread Group 1-22,text,true,,470258,125,30,30,http://192.168.1.172/Amazon.html,3196,0,1261
1548171031371,16709,HTTP Request Pagina MedioPiccola,200,OK,Thread Group 1-6,text,true,,114344,128,30,30,http://192.168.1.172/FrancoCFA.html,3220,0,1267
1548171032024,18011,HTTP Request Pagina MedioPiccola,200,OK,Thread Group 1-3,text,true,,114344,128,30,30,http://192.168.1.172/FrancoCFA.html,3538,0,1421
1548171021840,28737,HTTP Request Pagina MedioGrande,200,OK,Thread Group 1-12,text,true,,1498246,127,30,30,http://192.168.1.172/Facebook.html,4110,0,2257
1548171024369,28161,HTTP Request Immagine,200,OK,Thread Group 1-27,bin,true,,5266772,138,30,30,http://192.168.1.172/Sample-jpg-image-5mb.jpg,3085,0,1776
