 r  b   swpd   free  inact active   si   so    bi    bo   in   cs us sy id wa st
 1  0  62696 162240  96884 166528    0    0     0     0  970  298  0 19 81  0  0
 0  0  62696 159068  96884 166528    0    0     0     0 1149  238  0 21 79  0  0
 0  0  62696 159772  96884 166528    0    0     0     0  775  214  0 20 80  0  0
 0  0  62696 159740  96884 166528    0    0     0     0  836  179  0 17 83  0  0
 1  0  62696 159900  96884 166528    0    0     0    20  421  226  0 10 90  0  0
 0  0  62696 160732  96884 166536    0    0     0     0  887  232  0 20 80  0  0
 2  0  62696 160620  96884 166536    0    0     0     0  733  236  0 14 86  0  0
 0  0  62696 161788  96884 166536    0    0     0     0  409  187  0 13 87  0  0
 2  0  62696 161964  96884 166536    0    0     0     0  927  219  0 23 77  0  0
 2  0  62696 160860  96884 166536    0    0     0     0  621  157  0  9 91  0  0
 2  0  62696 157356  96884 166536    0    0     0    12  710  238  0 16 84  0  0
 0  0  62696 156304  96884 166544    0    0     0     0 1086  224  0 14 86  0  0
 1  0  62696 155600  96888 166544    0    0     0     0  559  175  0 13 87  0  0
 0  0  62696 156944  96884 166548    0    0     0     0  686  193  0 16 84  0  0
 0  0  62696 155616  96884 166548    0    0     0    12  793  186  0 16 84  0  0
 1  0  62696 155824  96884 166548    0    0     0    24  836  253  0 18 82  0  0
 0  0  62696 153248  96884 166556    0    0     0     0  905  204  0  2 98  0  0
 0  0  62696 154608  96884 166556    0    0     0     0  979  194  0 17 83  0  0
 0  0  62696 154512  96884 166556    0    0     0     0  884  192  0 15 85  0  0
 1  0  62696 154976  96884 166556    0    0     0    12  854  234  0 13 87  0  0
 1  0  62696 155552  96884 166556    0    0     0     2  723  199  0 13 87  0  0
 1  0  62696 157056  96884 166556    0    0     0    12  675  196  0 16 84  0  0
 0  0  62696 157376  96884 166564    0    0     0     0 1028  244  0 20 80  0  0
 0  0  62696 157472  96884 166564    0    0     0     0  541  157  0 11 89  0  0
 0  0  62696 157312  96884 166564    0    0     0     0  551  183  0  9 91  0  0
 0  0  62696 157188  96884 166564    0    0     0     0  915  187  0 13 88  0  0
 0  0  62696 155252  96884 166564    0    0     0    12 1168  239  0 14 86  0  0
 2  0  62696 155928  96884 166564    0    0     0     0  809  183  0 15 85  0  0
 0  0  62696 156520  96884 166572    0    0     0     0  961  197  0 14 86  0  0
 5  0  62696 157400  96884 166572    0    0     0     0  997  205  0 19 81  0  0
 0  0  62696 158488  96888 166572    0    0     0     0  665  171  0 19 81  0  0
 0  0  62696 159544  96884 166576    0    0     0     0  682  209  0 12 88  0  0
 0  0  62696 160420  96884 166576    0    0     0    12  811  257  0 24 76  0  0
 1  0  62696 160292  96884 166584    0    0     0     0  813  226  0 18 82  0  0
 1  0  62696 158644  96884 166584    0    0     0     8  899  248  0 12 88  0  0
 1  0  62696 159368  96884 166584    0    0     0     0  651  211  0 17 83  0  0
 0  0  62696 159592  96884 166588    0    0     0     0  850  188  0 14 86  0  0
 0  0  62696 160968  96884 166588    0    0     0     0  735  262  0 20 80  0  0
 1  0  62696 163736  96884 166588    0    0     0    12  209  170  0  6 93  1  0
 0  0  62696 164840  96884 166596    0    0     0     0  741  307  1 22 77  0  0
 0  0  62696 163480  96884 166596    0    0     0     0  792  245  0 20 80  0  0
 0  0  62696 161784  96884 166596    0    0     0     0  816  251  0 16 84  0  0
 0  0  62696 160728  96884 166596    0    0     0     0  416  153  0  6 94  0  0
 1  0  62696 158188  96884 166596    0    0     0     0  952  234  0 15 85  0  0
 0  0  62696 159036  96884 166596    0    0     0    12  807  219  0 17 83  0  0
 0  0  62696 159500  96884 166604    0    0     0     0  751  240  0 16 84  0  0
 2  0  62696 161020  96884 166604    0    0     0     0  503  164  0 12 88  0  0
 0  0  62696 161260  96884 166604    0    0     0     0  577  201  0 14 86  0  0
 2  0  62696 159628  96884 166604    0    0     0     0  718  168  0  8 92  0  0
 0  0  62696 157036  96884 166604    0    0     0     8  980  301  0 16 84  0  0
 1  0  62696 158668  96884 166604    0    0     0    26  494  169  0 11 89  0  0
 0  0  62696 159160  96884 166612    0    0     0     0  859  230  0 13 87  0  0
 0  0  62696 160056  96888 166612    0    0     0     0  716  195  0 12 88  0  0
 6  0  62696 161080  96888 166612    0    0     0     0 1062  246  0 22 78  0  0
 0  0  62696 159016  96884 166616    0    0     0    12 1155  230  0 16 84  0  0
 1  0  62696 157288  96884 166616    0    0     0    12  817  182  0 14 86  0  0
 0  0  62696 157144  96884 166624    0    0     0     0 1027  189  0 16 84  0  0
 1  0  62696 156920  96884 166624    0    0     0     0  928  189  0 16 84  0  0
 0  0  62696 157816  96884 166624    0    0     0     0 1032  212  0 20 80  0  0
 1  0  62696 158344  96884 166624    0    0     0     0  424  184  0 12 88  0  0
 2  0  62696 160392  96884 166624    0    0     0     0  507  186  0  9 91  0  0
 1  0  62696 162504  96884 166624    0    0     0    12  870  280  0 18 82  0  0
 0  0  62696 164728  96884 166632    0    0     0     0  453  207  0 13 88  0  0
 1  0  62696 164132  96884 166632    0    0     0     0  863  273  0 20 80  0  0
 0  0  62696 163892  96884 166632    0    0     0     4  820  260  0 22 78  0  0
 0  0  62696 162884  96884 166632    0    0     0     0  575  208  0 10 90  0  0
 6  0  62696 162212  96884 166632    0    0     0    12  228  126  0  5 95  0  0
 1  0  62696 159972  96884 166640    0    0     0     0  949  239  1 16 83  0  0
 3  0  62696 159668  96884 166640    0    0     0     0 1082  214  0 24 76  0  0
 0  0  62696 161028  96884 166640    0    0     0     0  501  219  1 11 88  0  0
 0  0  62696 161076  96884 166644    0    0     0     0  780  232  0 19 81  0  0
 0  0  62696 160804  96884 166644    0    0     0     0  506  226  0 15 85  0  0
 0  0  62696 159556  96884 166644    0    0     0    12  375  170  0  5 94  1  0
 1  0  62696 157476  96884 166652    0    0     0     0  838  236  0 18 82  0  0
 1  0  62696 156808  96884 166652    0    0     0     0  770  187  0 22 78  0  0
 0  0  62696 155928  96884 166652    0    0     0     0  786  235  0 15 85  0  0
 1  0  62696 156632  96884 166652    0    0     0     0  895  204  0 18 82  0  0
 1  0  62696 156936  96884 166652    0    0     0     0  571  190  0 12 88  0  0
 0  0  62696 157976  96884 166652    0    0     0    12  657  191  0 12 88  0  0
 0  0  62696 158908  96884 166660    0    0     0     0  483  201  0 12 88  0  0
 0  0  62696 159068  96884 166660    0    0     0     9  722  241  0 19 81  0  0
 0  0  62696 156828  96888 166660    0    0     0     0  701  190  0 12 88  0  0
 0  0  62696 156700  96888 166660    0    0     0     0  801  240  0 20 80  0  0
 1  0  62696 155836  96884 166664    0    0     0    12  897  214  0 12 88  0  0
 0  0  62696 155372  96884 166664    0    0     0    12  740  237  0 14 86  0  0
 0  0  62696 157324  96884 166672    0    0     0     0  633  154  0 11 89  0  0
 2  0  62696 157564  96884 166672    0    0     0     0  858  215  0 18 82  0  0
 0  0  62696 157500  96884 166672    0    0     0     0  874  240  0 15 85  0  0
 1  0  62696 157980  96884 166672    0    0     0    28  792  259  0 12 88  0  0
 2  0  62696 159092  96884 166676    0    0     0    12  618  193  0 15 85  0  0
 0  0  62696 160260  96884 166680    0    0     0     0 1034  212  0 24 76  0  0
 0  0  62696 161300  96884 166680    0    0     0     0  868  182  0 17 83  0  0
 1  0  62696 161156  96884 166680    0    0     0     0  581  192  0 14 86  0  0
 1  0  62696 161124  96884 166680    0    0     0     0  405  141  0  9 91  0  0
 1  0  62696 157440  96884 166680    0    0     0    20  996  266  0 19 81  0  0
 0  0  62696 154928  96884 166692    0    0     0     0 1066  193  0 18 82  0  0
 1  0  62696 155680  96884 166692    0    0     0     0  673  193  0 11 89  0  0
 1  0  62696 156160  96884 166692    0    0     0     0 1177  243  0 17 83  0  0
 0  0  62696 156944  96884 166692    0    0     0     0  953  215  0 16 84  0  0
 3  0  62696 157664  96884 166692    0    0     0    12  683  189  0 16 84  0  0
 0  0  62696 158608  96884 166700    0    0     0     0  872  184  0 13 88  0  0
 1  0  62696 159184  96884 166700    0    0     0     0  394  181  1 11 88  0  0
 1  0  62696 160096  96884 166700    0    0     0     0  354  180  0  8 92  0  0
 0  0  62696 161440  96884 166700    0    0     0     0  699  189  0  9 91  0  0
 1  0  62696 162336  96884 166700    0    0     0     0  877  218  0 16 84  0  0
 0  0  62696 162016  96884 166700    0    0     0    12  822  252  0 15 85  0  0
 1  0  62696 160016  96884 166708    0    0     0     0  437  147  0  8 92  0  0
 0  0  62696 160080  96884 166708    0    0     0     0  863  185  0 22 78  0  0
 2  0  62696 156736  96884 166708    0    0     0     0  877  233  0 16 84  0  0
 1  0  62696 155760  96884 166708    0    0     0     0  819  200  0 18 82  0  0
 1  0  62696 157184  96884 166708    0    0     0    14  927  201  0 16 84  0  0
 0  0  62696 156352  96884 166716    0    0     0     0  444  152  0  4 96  0  0
 0  0  62696 157696  96884 166716    0    0     0     0  643  199  0 18 82  0  0
 2  0  62696 159504  96884 166716    0    0     0     0  735  198  0 15 85  0  0
 0  0  62696 160736  96884 166716    0    0     0     0  771  249  0 20 80  0  0
 0  0  62696 160300  96888 166716    0    0     0    12  999  230  0 18 82  0  0
 0  0  62696 161004  96884 166720    0    0     0     0  752  227  0 11 89  0  0
 0  0  62696 162396  96884 166728    0    0     0     0  660  211  0 17 83  0  0
 1  0  62696 166252  96884 166728    0    0     0     0  448  246  0 12 88  0  0
 6  0  62696 166316  96884 166728    0    0     0    12  815  317  0 20 80  0  0
 1  0  62696 165388  96884 166728    0    0     0     0  802  294  0 20 80  0  0
 2  0  62696 163376  96884 166728    0    0     0    28  913  281  0 19 81  0  0
 1  0  62696 162992  96884 166736    0    0     0     0  766  270  0 16 84  0  0
 2  0  62696 163648  96884 166736    0    0     0     0  786  252  0 20 80  0  0
 1  0  62696 165152  96884 166736    0    0     0     4  679  258  0 17 83  0  0
 2  0  62696 166400  96884 166736    0    0     0     0  606  270  1 15 84  0  0
 0  0  62696 164432  96884 166736    0    0     0    12  630  267  0 23 77  0  0
 0  0  62696 162320  96888 166736    0    0     0     0  589  230  0 15 85  0  0
 1  0  62696 161296  96884 166748    0    0     0     0  359  175  0 10 90  0  0
 1  0  62696 160528  96884 166748    0    0     0     0  622  257  0 21 79  0  0
 2  0  62696 159920  96884 166748    0    0     0     0  578  261  0 16 84  0  0
 0  0  62696 159072  96884 166748    0    0     0     0  685  237  0 15 85  0  0
